종목명,시가총액
삼성전자,11049004
SK하이닉스,6628132
삼성전자우,1070151
현대차,994099
LG에너지솔루션,834210
SK스퀘어,733083
삼성바이오로직스,705937
한화에어로스페이스,655886
두산에너빌리티,648248
기아,629346
KB금융,540633
HD현대중공업,531104
삼성물산,462336
셀트리온,434602
삼성생명,433000
신한지주,424816
한화오션,367083
현대모비스,342969
미래에셋증권,342075
NAVER,327038
HD현대일렉트릭,326227
삼성전기,318942
고려아연,308920
삼성SDI,303002
하나금융지주,293077
한국전력,293057
한미반도체,286413
POSCO홀딩스,263841
HD한국조선해양,259737
LS ELECTRIC,247500
효성중공업,240480
SK,238171
한화시스템,234260
우리금융지주,231968
삼성중공업,229680
삼성화재,209121
카카오,208100
LG화학,205071
HD현대,189583
HMM,187233
현대로템,184014
기업은행,183408
LG전자,178523
SK이노베이션,178520
메리츠금융지주,177282
KT&G,173162
두산,172950
현대건설,171711
KODEX 200,171024
포스코퓨처엠,165885
한국항공우주,165123
현대글로비스,161250
SK텔레콤,159159
TIGER 미국S&P500,146309
KT,143148
LIG넥스원,140140
포스코인터내셔널,135285
LG,133247
삼성에피스홀딩스,127650
하이브,124251
DB손해보험,121769
에이피알,120551
S-Oil,118325
삼성에스디에스,117924
한국금융지주,117025
NH투자증권,116703
키움증권,112380
카카오뱅크,111628
현대오토에버,109010
크래프톤,108557
대한항공,89294
현대차2우B,86711
삼양식품,86253
LS,85020
이수페타시스,84788
삼성증권,84031
KODEX CD금리액티브(합성),81740
한화,81480
카카오페이,80594
한화솔루션,80274
TIGER 반도체TOP10,79360
아모레퍼시픽,79199
한진칼,78846
KODEX 미국S&P500,78623
TIGER 미국나스닥100,78348
HD현대마린솔루션,76258
KODEX 머니마켓액티브,75178
유한양행,74470
TIGER 200,72105
SK바이오팜,71578
대우건설,71446
삼성E&A,69335
KODEX 코스닥150,69132
LG이노텍,68398
삼성카드,68009
한국타이어앤테크놀로지,67140
LG유플러스,65033
한미약품,64055
HD건설기계,62174
한전기술,61725
