height,weight,label
180,103,fat
192,170,fat
192,124,fat
159,132,fat
150,130,fat
180,105,fat
191,152,fat
194,188,fat
164,177,fat
150,194,fat
159,147,fat
173,76,fat
171,88,fat
153,182,fat
162,54,normal
182,121,fat
193,138,fat
155,39,thin
153,165,fat
164,58,normal
177,148,fat
157,143,fat
158,173,fat
170,194,fat
185,76,normal
194,48,thin
185,78,normal
182,56,thin
175,190,fat
176,187,fat
180,157,fat
188,133,fat
184,42,thin
191,56,thin
162,101,fat
172,127,fat
194,133,fat
193,114,fat
157,99,fat
165,120,fat
173,130,fat
182,181,fat
198,163,fat
161,42,thin
174,145,fat
152,167,fat
151,91,fat
193,144,fat
152,134,fat
163,190,fat
156,175,fat
164,80,fat
154,105,fat
152,145,fat
167,162,fat
172,189,fat
190,48,thin
182,152,fat
173,88,fat
171,107,fat
179,156,fat
194,158,fat
165,77,fat
179,175,fat
173,81,fat
162,91,fat
188,36,thin
167,122,fat
161,96,fat
200,37,thin
182,45,thin
165,193,fat
157,127,fat
184,163,fat
159,41,thin
170,106,fat
190,65,thin
164,169,fat
182,157,fat
181,195,fat
172,102,fat
193,148,fat
197,76,normal
178,109,fat
189,46,thin
167,119,fat
182,198,fat
194,148,fat
195,89,normal
196,107,fat
183,100,fat
151,35,thin
194,41,thin
158,177,fat
167,142,fat
158,96,fat
162,146,fat
180,50,thin
185,180,fat
189,101,fat
198,45,thin
176,145,fat
187,58,thin
175,85,fat
187,177,fat
172,129,fat
190,133,fat
186,76,normal
151,74,fat
151,44,normal
154,141,fat
184,86,fat
200,132,fat
200,60,thin
195,125,fat
162,114,fat
167,173,fat
181,194,fat
189,66,thin
163,171,fat
188,135,fat
187,97,fat
154,139,fat
172,117,fat
155,120,fat
159,58,normal
196,114,fat
169,81,fat
198,198,fat
177,128,fat
161,42,thin
163,159,fat
189,148,fat
181,80,normal
153,187,fat
171,151,fat
165,118,fat
156,92,fat
150,127,fat
173,106,fat
162,145,fat
168,91,fat
183,72,normal
182,120,fat
160,163,fat
179,134,fat
188,163,fat
195,98,fat
179,152,fat
200,47,thin
199,93,normal
176,172,fat
194,136,fat
183,147,fat
192,48,thin
156,176,fat
186,114,fat
172,39,thin
170,162,fat
173,196,fat
169,78,fat
158,157,fat
164,174,fat
158,99,fat
181,46,thin
177,128,fat
168,139,fat
190,188,fat
168,134,fat
200,190,fat
170,72,normal
158,101,fat
191,43,thin
192,190,fat
200,131,fat
176,143,fat
189,102,fat
171,139,fat
199,132,fat
181,133,fat
175,81,fat
160,87,fat
166,63,normal
167,168,fat
153,126,fat
197,113,fat
199,70,thin
169,89,fat
197,41,thin
185,113,fat
152,38,thin
160,85,fat
160,85,fat
195,110,fat
162,82,fat
199,114,fat
184,40,thin
188,61,thin
173,162,fat
184,86,fat
178,60,normal
183,36,thin
191,67,thin
175,164,fat
181,197,fat
168,154,fat
172,197,fat
174,141,fat
183,42,thin
195,106,fat
151,74,fat
181,128,fat
194,61,thin
193,144,fat
185,138,fat
188,130,fat
198,53,thin
158,124,fat
153,94,fat
156,143,fat
155,49,normal
150,98,fat
151,63,fat
193,179,fat
189,42,thin
187,93,fat
187,156,fat
190,87,normal
179,121,fat
177,174,fat
170,96,fat
175,57,normal
191,190,fat
171,50,thin
200,127,fat
159,111,fat
157,159,fat
188,69,normal
192,106,fat
150,85,fat
164,66,normal
180,146,fat
196,122,fat
175,116,fat
171,187,fat
174,159,fat
171,84,fat
189,197,fat
184,193,fat
173,51,thin
164,122,fat
174,103,fat
189,179,fat
158,173,fat
192,147,fat
197,106,fat
166,122,fat
176,61,normal
157,185,fat
190,161,fat
161,127,fat
185,74,normal
188,193,fat
186,105,fat
174,120,fat
169,130,fat
172,119,fat
182,188,fat
179,53,thin
161,194,fat
175,87,fat
170,193,fat
173,192,fat
172,71,normal
168,121,fat
171,199,fat
175,45,thin
183,119,fat
191,172,fat
154,169,fat
156,99,fat
160,159,fat
155,114,fat
160,147,fat
164,107,fat
154,94,fat
162,85,fat
167,198,fat
157,198,fat
163,185,fat
161,157,fat
197,114,fat
179,68,normal
180,135,fat
178,154,fat
